Document,CER,Tokens (OCR),Length (OCR),Tokens (Truth),Length (Truth),Time
208941_page_26.txt,0.0662,296,1696,289,1723,0.0000
208941_page_27.txt,0.0564,304,1734,295,1773,0.0161
208941_page_28.txt,0.0820,310,1697,296,1720,0.0113
208941_page_29.txt,0.0805,309,1678,291,1689,0.0020
208941_page_3.txt,0.4401,197,961,129,1086,0.0000
208941_page_30.txt,0.0306,304,1708,301,1733,0.0140
208941_page_31.txt,0.1128,297,1712,294,1756,0.0140
208941_page_32.txt,0.1152,349,1735,305,1753,0.0174
208941_page_33.txt,0.0757,317,1633,294,1638,0.0140
208941_page_34.txt,0.0534,316,1705,296,1722,0.0156
208941_page_35.txt,0.0553,301,1679,278,1682,0.0156
208941_page_36.txt,0.1524,328,1636,276,1647,0.0145
208941_page_37.txt,0.1246,348,1738,297,1742,0.0156
208941_page_38.txt,0.2193,363,1634,289,1660,0.0062
208941_page_39.txt,0.0780,332,1806,308,1808,0.0029
208941_page_4.txt,0.0582,233,1352,226,1375,0.0000
208941_page_40.txt,0.0694,303,1677,290,1687,0.0000
208941_page_41.txt,0.1330,346,1670,290,1654,0.0000
208941_page_42.txt,0.1183,352,1686,293,1691,0.0143
208941_page_43.txt,0.0675,302,1711,280,1719,0.0203
208941_page_44.txt,0.0772,321,1748,290,1749,0.0163
208941_page_45.txt,0.1541,344,1604,288,1629,0.0140
208941_page_46.txt,0.2188,92,416,72,416,0.0000
208941_page_5.txt,0.0502,277,1617,272,1652,0.0000
208941_page_6.txt,0.0699,131,710,127,715,0.0000
208941_page_7.txt,0.0819,282,1465,266,1489,0.0140
208941_page_8.txt,0.0944,96,533,96,551,0.0000
208941_page_9.txt,0.1049,282,1469,275,1564,0.0170
208955_page_1.txt,0.2663,339,1676,294,1806,0.0156
208955_page_2.txt,0.0774,562,3127,531,3152,0.0340

Average Character Error Rate for all documents,0.2706
Total time to process all documents,18.0485 seconds
Total tokens (OCR) for all documents,153141
Total characters (OCR) for all documents,726893
Total tokens (Truth) for all documents,132514
Total characters (Truth) for all documents,786994
